row,behavior_management,calendars_clocks,content_specific,decorations,decorative_frame,goals_for_the_day,group_assignments,homework_assignments,job_charts,labels,motivational_slogans,other,other_behavior,other_non-academic,procedures,progress_charts,resources,rules,schedule_day_week,skills,student_art,yearly_schedule
211B1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0
211E1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0
212A1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0
212C1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1
213A1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
213A2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1
213B1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1
213C1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213C2,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1
213E1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0
216D1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
217C1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
217E1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0
218A1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1
218A2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1
218B1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0
218B2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
218D1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1
218D2,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
218E1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
218E2,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1
219A1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
219B1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1
219C1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
219E1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0
220A1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1
220B1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1
220C1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
220C2,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1
221B1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1
